Setting,ModelElement,precision,recall,f1,ModelID,LLM
0shot,Class,0.9375,0.46875,0.625, LabTracker,GPT4
0shot,Attribute,0.90741,0.45349,0.60475, LabTracker,GPT4
0shot,Association,0.5,0.15909,0.24138, LabTracker,GPT4
0shot,Class,0.9375,0.57692,0.71429, CelO,GPT4
0shot,Attribute,0.80357,0.80435,0.80396, CelO,GPT4
0shot,Association,0.33333,0.15,0.2069, CelO,GPT4
0shot,Class,0.85,0.46875,0.60427, TSS,GPT4
0shot,Attribute,0.92857,0.66667,0.77612, TSS,GPT4
0shot,Association,0.42857,0.225,0.29508, TSS,GPT4
0shot,Class,0.9,0.63043,0.74148, SHAS,GPT4
0shot,Attribute,0.35294,0.46154,0.4, SHAS,GPT4
0shot,Association,0.5,0.2037,0.28947, SHAS,GPT4
0shot,Class,0.94444,0.5625,0.70507, OTS,GPT4
0shot,Attribute,0.70455,0.48,0.57099, OTS,GPT4
0shot,Association,0.375,0.18421,0.24706, OTS,GPT4
0shot,Class,0.88889,0.53333,0.66667, Block,GPT4
0shot,Attribute,0.54,0.38333,0.44838, Block,GPT4
0shot,Association,0.61111,0.22917,0.33333, Block,GPT4
0shot,Class,0.8,0.55556,0.65574, TileO,GPT4
0shot,Attribute,0.41176,0.44737,0.42883, TileO,GPT4
0shot,Association,0.5,0.14286,0.22222, TileO,GPT4
0shot,Class,0.85,0.52778,0.65121, HBMS,GPT4
0shot,Attribute,0.44565,0.54688,0.4911, HBMS,GPT4
0shot,Association,0.25,0.13636,0.17647, HBMS,GPT4
1shot_BTMS,Class,0.9,0.5625,0.69231, LabTracker,GPT4
1shot_BTMS,Attribute,0.86486,0.5,0.63366, LabTracker,GPT4
1shot_BTMS,Association,0.70833,0.31818,0.43911, LabTracker,GPT4
1shot_BTMS,Class,0.94444,0.65385,0.77273, CelO,GPT4
1shot_BTMS,Attribute,0.84483,0.84783,0.84632, CelO,GPT4
1shot_BTMS,Association,0.59091,0.35,0.43961, CelO,GPT4
1shot_BTMS,Class,0.91667,0.625,0.74324, TSS,GPT4
1shot_BTMS,Attribute,0.48148,0.6875,0.56634, TSS,GPT4
1shot_BTMS,Association,0.375,0.15,0.21429, TSS,GPT4
1shot_BTMS,Class,0.84615,0.56522,0.67773, SHAS,GPT4
1shot_BTMS,Attribute,0.61905,0.46154,0.52881, SHAS,GPT4
1shot_BTMS,Association,0.59091,0.2037,0.30297, SHAS,GPT4
1shot_BTMS,Class,1,0.625,0.76923, OTS,GPT4
1shot_BTMS,Attribute,0.7619,0.48,0.58896, OTS,GPT4
1shot_BTMS,Association,0.31818,0.31579,0.31698, OTS,GPT4
1shot_BTMS,Class,1,0.8,0.88889, Block,GPT4
1shot_BTMS,Attribute,0.79545,0.51667,0.62644, Block,GPT4
1shot_BTMS,Association,0.625,0.3125,0.41667, Block,GPT4
1shot_BTMS,Class,0.88889,0.61111,0.72428, TileO,GPT4
1shot_BTMS,Attribute,0.81818,0.13158,0.2267, TileO,GPT4
1shot_BTMS,Association,0.35,0.16667,0.22581, TileO,GPT4
1shot_BTMS,Class,0.95833,0.66667,0.78632, HBMS,GPT4
1shot_BTMS,Attribute,0.58889,0.70313,0.64096, HBMS,GPT4
1shot_BTMS,Association,0.4375,0.27273,0.336, HBMS,GPT4
1shot_H2S,Class,0.95,0.59375,0.73077, LabTracker,GPT4
1shot_H2S,Attribute,0.90244,0.62791,0.74055, LabTracker,GPT4
1shot_H2S,Association,0.83333,0.40909,0.54878, LabTracker,GPT4
1shot_H2S,Class,0.83333,0.57692,0.68182, CelO,GPT4
1shot_H2S,Attribute,0.77778,0.69565,0.73443, CelO,GPT4
1shot_H2S,Association,0.58333,0.3,0.39623, CelO,GPT4
1shot_H2S,Class,0.88462,0.6875,0.7737, TSS,GPT4
1shot_H2S,Attribute,0.85294,0.72917,0.78621, TSS,GPT4
1shot_H2S,Association,0.47222,0.375,0.41803, TSS,GPT4
1shot_H2S,Class,0.69231,0.52174,0.59504, SHAS,GPT4
1shot_H2S,Attribute,0.33333,0.36538,0.34862, SHAS,GPT4
1shot_H2S,Association,0.7,0.25926,0.37838, SHAS,GPT4
1shot_H2S,Class,0.95,0.59375,0.73077, OTS,GPT4
1shot_H2S,Attribute,0.81818,0.64,0.7182, OTS,GPT4
1shot_H2S,Association,0.27273,0.10526,0.1519, OTS,GPT4
1shot_H2S,Class,0.84615,0.66667,0.74576, Block,GPT4
1shot_H2S,Attribute,0.575,0.38333,0.46, Block,GPT4
1shot_H2S,Association,0.65385,0.3125,0.42289, Block,GPT4
1shot_H2S,Class,0.72727,0.61111,0.66415, TileO,GPT4
1shot_H2S,Attribute,0.46154,0.21053,0.28916, TileO,GPT4
1shot_H2S,Association,0.16667,0.09524,0.12121, TileO,GPT4
1shot_H2S,Class,0.79167,0.55556,0.65292, HBMS,GPT4
1shot_H2S,Attribute,0.54054,0.67188,0.59909, HBMS,GPT4
1shot_H2S,Association,0.36364,0.13636,0.19835, HBMS,GPT4
2shots,Class,0.95,0.59375,0.73077, LabTracker,GPT4
2shots,Attribute,0.9,0.66279,0.76339, LabTracker,GPT4
2shots,Association,0.83333,0.40909,0.54878, LabTracker,GPT4
2shots,Class,0.94444,0.69231,0.79896, CelO,GPT4
2shots,Attribute,0.85185,0.78261,0.81576, CelO,GPT4
2shots,Association,0.44118,0.3,0.35714, CelO,GPT4
2shots,Class,0.91667,0.5625,0.69718, TSS,GPT4
2shots,Attribute,0.41176,0.66667,0.50909, TSS,GPT4
2shots,Association,0.59375,0.375,0.45968, TSS,GPT4
2shots,Class,1,0.47826,0.64706, SHAS,GPT4
2shots,Attribute,0.67647,0.40385,0.50576, SHAS,GPT4
2shots,Association,0.5,0.2963,0.37209, SHAS,GPT4
2shots,Class,0.95455,0.65625,0.77778, OTS,GPT4
2shots,Attribute,0.71739,0.58,0.64142, OTS,GPT4
2shots,Association,0.25,0.13158,0.17241, OTS,GPT4
2shots,Class,0.8,0.8,0.8, Block,GPT4
2shots,Attribute,0.47619,0.35,0.40346, Block,GPT4
2shots,Association,0.47222,0.35417,0.40476, Block,GPT4
2shots,Class,1,0.66667,0.8, TileO,GPT4
2shots,Attribute,0.9375,0.44737,0.6057, TileO,GPT4
2shots,Association,0.11765,0.09524,0.10526, TileO,GPT4
2shots,Class,0.95455,0.58333,0.72414, HBMS,GPT4
2shots,Attribute,0.6,0.625,0.61224, HBMS,GPT4
2shots,Association,0.375,0.20455,0.26471, HBMS,GPT4
CoT,Class,0.95,0.59375,0.73077, LabTracker,GPT4
CoT,Attribute,0.7125,0.62791,0.66753, LabTracker,GPT4
CoT,Association,0.45,0.20455,0.28125, LabTracker,GPT4
CoT,Class,0.75,0.53846,0.62687, CelO,GPT4
CoT,Attribute,0.64815,0.82609,0.72638, CelO,GPT4
CoT,Association,0.22222,0.075,0.11215, CelO,GPT4
CoT,Class,0.90909,0.625,0.74074, TSS,GPT4
CoT,Attribute,0.7,0.35417,0.47036, TSS,GPT4
CoT,Association,0.25,0.225,0.23684, TSS,GPT4
CoT,Class,0.9,0.54348,0.67771, SHAS,GPT4
CoT,Attribute,0.44118,0.30769,0.36254, SHAS,GPT4
CoT,Association,0.53846,0.25926,0.35, SHAS,GPT4
CoT,Class,1,0.5625,0.72, OTS,GPT4
CoT,Attribute,0.775,0.4,0.52766, OTS,GPT4
CoT,Association,0.41667,0.26316,0.32258, OTS,GPT4
CoT,Class,0.75,0.6,0.66667, Block,GPT4
CoT,Attribute,0.52273,0.41667,0.46371, Block,GPT4
CoT,Association,0.39286,0.1875,0.25385, Block,GPT4
CoT,Class,0.85714,0.44444,0.58537, TileO,GPT4
CoT,Attribute,0.83333,0.18421,0.30172, TileO,GPT4
CoT,Association,0.64286,0.2619,0.37218, TileO,GPT4
CoT,Class,0.80769,0.47222,0.59599, HBMS,GPT4
CoT,Attribute,0.52381,0.46875,0.49475, HBMS,GPT4
CoT,Association,0.46154,0.18182,0.26087, HBMS,GPT4
0shot,Class,0.92857,0.4375,0.59477,LabTracker,GPT3
