Setting,ModelElement,precision,recall,f1,ModelID,LLM,,,,,
0-shot,class,0.9256,0.4375,0.5942,LabTracker,gpt3,,,,,
0-shot,class,0.9167,0.4615,0.6139,CelO,gpt3,,,,,
0-shot,class,0.8333,0.4688,0.6000,TSS,gpt3,,,,,
0-shot,class,0.8182,0.4130,0.5489,SHAS,gpt3,,,,,
0-shot,class,1.0000,0.2500,0.4000,OTS,gpt3,,,,,
0-shot,class,0.8571,0.4000,0.5455,block223,gpt3,,,,,
0-shot,class,1.0000,0.2778,0.4348,Tile-O,gpt3,,,,,
0-shot,class,0.5625,0.2895,0.3823,HBMS,gpt3,,,,,
0-shot,attribute,0.8148,0.3721,0.5109,LabTracker,gpt3,,,,,
0-shot,attribute,0.8261,0.6304,0.7151,CelO,gpt3,,,,,
0-shot,attribute,0.6944,0.5625,0.6215,TSS,gpt3,,,,,
0-shot,attribute,0.5000,0.4654,0.4821,SHAS,gpt3,,,,,
0-shot,attribute,0.7000,0.2300,0.3462,OTS,gpt3,,,,,
0-shot,attribute,0.3824,0.2333,0.2898,block223,gpt3,,,,,
0-shot,attribute,0.1316,0.1250,0.1282,Tile-O,gpt3,,,,,
0-shot,attribute,0.4130,0.3125,0.3558,HBMS,gpt3,,,,,
0-shot,relationship,0.6429,0.2500,0.3600,LabTracker,gpt3,,,,,
0-shot,relationship,0.4167,0.1316,0.2000,CelO,gpt3,,,,,
0-shot,relationship,0.0000,0.0000,0.0000,TSS,gpt3,,,,,
0-shot,relationship,0.3500,0.1458,0.2058,SHAS,gpt3,,,,,
0-shot,relationship,0.1250,0.0000,0.0000,OTS,gpt3,,,,,
0-shot,relationship,0.2500,0.0526,0.0869,block223,gpt3,,,,,
0-shot,relationship,0.2500,0.0750,0.1154,Tile-O,gpt3,,,,,
0-shot,relationship,0.0455,0.0227,0.0303,HBMS,gpt3,,,,,
1-shot-btms,class,1.0000,0.4375,0.6087,LabTracker,gpt3,,,,,
1-shot-btms,class,0.9286,0.5769,0.7117,CelO,gpt3,,,,,
1-shot-btms,class,1.0000,0.4375,0.6087,TSS,gpt3,,,,,
1-shot-btms,class,1.0000,0.4565,0.6268,SHAS,gpt3,,,,,
1-shot-btms,class,1.0000,0.5313,0.6939,OTS,gpt3,,,,,
1-shot-btms,class,0.8750,0.5333,0.6627,block223,gpt3,,,,,
1-shot-btms,class,0.8571,0.3333,0.4800,Tile-O,gpt3,,,,,
1-shot-btms,class,1.0000,0.3421,0.5098,HBMS,gpt3,,,,,
1-shot-btms,attribute,0.9048,0.3488,0.5035,LabTracker,gpt3,,,,,
1-shot-btms,attribute,0.8000,0.5870,0.6771,CelO,gpt3,,,,,
1-shot-btms,attribute,0.7500,0.4167,0.5357,TSS,gpt3,,,,,
1-shot-btms,attribute,0.6000,0.3077,0.4068,SHAS,gpt3,,,,,
1-shot-btms,attribute,0.7917,0.3200,0.4558,OTS,gpt3,,,,,
1-shot-btms,attribute,0.6176,0.3333,0.4330,block223,gpt3,,,,,
1-shot-btms,attribute,0.5000,0.1250,0.2000,Tile-O,gpt3,,,,,
1-shot-btms,attribute,0.5000,0.2031,0.2889,HBMS,gpt3,,,,,
1-shot-btms,relationship,0.8636,0.3409,0.4888,LabTracker,gpt3,,,,,
1-shot-btms,relationship,0.4643,0.3421,0.3939,CelO,gpt3,,,,,
1-shot-btms,relationship,0.5000,0.2143,0.3000,TSS,gpt3,,,,,
1-shot-btms,relationship,0.5000,0.2083,0.2941,SHAS,gpt3,,,,,
1-shot-btms,relationship,0.4000,0.2300,0.2921,OTS,gpt3,,,,,
1-shot-btms,relationship,0.3333,0.1579,0.2143,block223,gpt3,,,,,
1-shot-btms,relationship,0.4400,0.2000,0.2750,Tile-O,gpt3,,,,,
1-shot-btms,relationship,0.7123,0.0455,0.0855,HBMS,gpt3,,,,,
1-shot-h2s,class,1.0000,0.5313,0.6939,LabTracker,gpt3,,,,,
1-shot-h2s,class,1.0000,0.5000,0.6667,CelO,gpt3,,,,,
1-shot-h2s,class,0.9000,0.5625,0.6923,TSS,gpt3,,,,,
1-shot-h2s,class,0.9444,0.4348,0.5954,SHAS,gpt3,,,,,
1-shot-h2s,class,1.0000,0.3125,0.4762,OTS,gpt3,,,,,
1-shot-h2s,class,1.0000,0.4333,0.6047,block223,gpt3,,,,,
1-shot-h2s,class,0.9167,0.3333,0.4889,Tile-O,gpt3,,,,,
1-shot-h2s,class,0.8750,0.3684,0.5185,HBMS,gpt3,,,,,
1-shot-h2s,attribute,0.7115,0.3140,0.4357,LabTracker,gpt3,,,,,
1-shot-h2s,attribute,0.8421,0.5000,0.6274,CelO,gpt3,,,,,
1-shot-h2s,attribute,0.6667,0.2917,0.4058,TSS,gpt3,,,,,
1-shot-h2s,attribute,0.3846,0.3269,0.3534,SHAS,gpt3,,,,,
1-shot-h2s,attribute,0.7273,0.2000,0.3137,OTS,gpt3,,,,,
1-shot-h2s,attribute,0.4000,0.2500,0.3077,block223,gpt3,,,,,
1-shot-h2s,attribute,0.1250,0.0625,0.0833,Tile-O,gpt3,,,,,
